User,Totals
ProcseeBot,37026
Sphilbrick,5930
Magog the Ogre,5024
Explicit,4637
RHaworth,3689
Widr,3394
Materialscientist,2680
Jo-Jo Eumerus,1727
Tavix,1464
Gilliam,1447
Edgar181,1433
Diannaa,1244
BU Rob13,1188
Anthony Appleyard,1130
Jimfbleak,1078
Oshwah,1063
Bbb23,1059
MER-C,1059
Magioladitis,1041
Od Mishehu,1011
JamesBWatson,970
GB fan,922
DGG,908
Peridon,768
Favonian,749
AnomieBOT III,677
Ponyo,584
JohnCD,580
CambridgeBayWeather,551
Sarahj2107,480
Beeblebrox,476
Titodutta,475
Plastikspork,471
Ks0stm,466
Zzuuzz,435
Fayenatic london,434
C.Fred,417
Seraphimblade,411
Vanjagenije,405
Deb,400
Ymblanter,355
Anthony Bradbury,343
MBisanz,334
David Gerard,332
Bishonen,330
Sandstein,315
Mojo Hand,311
Kudpung,311
Yamaguchi先生,306
Ronhjones,302
AustralianRupert,291
Acroterion,280
Cydebot,278
TomStar81,272
Nyttend,272
BethNaught,268
Salvidrim!,259
Tassedethe,252
Ian.thomson,250
Nthep,250
SpacemanSpiff,249
ReaderofthePack,245
KrakatoaKatie,245
Xaosflux,231
Drmies,224
Doug Weller,223
Beetstra,210
Vanamonde93,207
Orangemike,197
Iridescent,190
Northamerica1000,188
Graeme Bartlett,186
Timrollpickering,180
Just Chilling,180
Michig,176
MusikAnimal,160
Black Kite,159
DoRD,158
Graham87,157
Cryptic,156
JzG,155
DragonflySixtyseven,154
Lankiveil,151
Kuru,149
Floquenbeam,149
The Anome,149
Dennis Brown,148
Spinningspark,147
Randykitty,143
Hut 8.5,140
Amakuru,140
Good Olfactory,140
Patar knight,139
Shirt58,138
Paul Erik,125
Mkdw,121
Mike V,119
Someguy1221,116
Ritchie333,115
Deryck Chan,112
Fram,111
Doc James,109
78.26,106
Samwalton9,105
GiantSnowman,104
Writ Keeper,104
BDD,104
R&#039;n&#039;B,99
Mike Rosoft,98
Boing! said Zebedee,93
Bongwarrior,93
Anna Frodesiak,92
MSGJ,92
EdJohnston,92
Rjd0060,91
Fenix down,90
Huon,89
DeltaQuad,88
