User,Totals
ProcseeBot,5157
RHaworth,3934
Ronhjones,3508
Alexf,3455
TLSuda,2814
NawlinWiki,2230
Sphilbrick,2101
Magog the Ogre,1846
Cydebot,1499
Gogo Dodo,1303
Malik Shabazz,1277
Od Mishehu,1254
Bbb23,1111
FreeRangeFrog,992
Joe Decker,890
Jimfbleak,840
Peridon,832
Smalljim,798
JohnCD,775
GB fan,774
DragonflySixtyseven,768
Mike V,721
Edgar181,717
Plastikspork,710
AnomieBOT III,654
Callanecc,641
Daniel Case,638
Jenks24,617
Materialscientist,617
Anthony Appleyard,614
Anna Frodesiak,598
Acroterion,544
Rjd0060,528
Diannaa,511
Jni,441
ReaderofthePack,428
Shirt58,409
Favonian,395
Ponyo,379
Deb,375
Xaosflux,364
Deor,363
Jac16888,362
Gilliam,361
MusikAnimal,356
Bongwarrior,353
Yunshui,352
Anthony Bradbury,351
Addshore,339
Randykitty,329
R&#039;n&#039;B,313
Orangemike,309
Discospinster,302
Seraphimblade,291
MER-C,290
DoRD,288
Kelapstick,286
Tiptoety,284
DeltaQuad,278
Magioladitis,219
Peripitus,205
BDD,205
Elockid,198
WilyD,191
HighInBC,190
Fayenatic london,177
C.Fred,175
The JPS,174
Bearian,172
RenamedUser jaskldjslak901,171
PhilKnight,170
CactusWriter,168
DGG,161
Ymblanter,158
CambridgeBayWeather,157
Mike Rosoft,156
Graeme Bartlett,155
Mikaey,146
Paul Erik,146
Doug Weller,145
Nyttend,139
Drmies,135
Euryalus,130
Mackensen,127
Postdlf,127
Future Perfect at Sunrise,126
Good Olfactory,124
SuperMarioMan,123
Nick,123
Reaper Eternal,121
Anne Delong,114
Huon,110
Ged UK,109
Vejvančický,109
Kudpung,109
Wizardman,108
Sjb72,104
Dennis Brown,103
David Eppstein,102
Black Kite,99
Graham87,94
DrKay,93
Bagumba,87
Mkdw,87
Hut 8.5,81
Salvidrim!,80
Davewild,79
Wtmitchell,78
Nthep,77
Tyrol5,77
Bsadowski1,75
Ohnoitsjamie,73
Tom Morris,71
5 albert square,71
Kww,68
The Anome,68
Rschen7754,67
Kusma,67
JamesBWatson,67
Monty845,66
DMacks,64
EdJohnston,63
Slon02,62
DangerousPanda,59
Redrose64,59
Barek,58
Meno25,58
Kuru,57
Acalamari,56
Moonriddengirl,55
Lord Roem,55
GiantSnowman,52
Bgwhite,50
Kevin Gorman,49
Gadfium,47
IronGargoyle,47
Lankiveil,46
Tassedethe,45
Miniapolis,45
Nihiltres,43
Mattythewhite,43
2over0,43
BOZ,42
Sergecross73,42
Bilby,42
Jpgordon,41
Dreadstar,41
RoySmith,41
J04n,41
Mojo Hand,41
Number 57,41
Timrollpickering,40
Razr Nation,40
Bearcat,40
Xezbeth,40
Scottywong,39
Bishonen,39
Connormah,39
Salvio giuliano,38
JamesR,38
Kinu,37
Vsmith,37
Mlaffs,37
Fram,36
Spinningspark,36
Yngvadottir,35
Legoktm,35
Anachronist,34
January,34
TFA Protector Bot,34
Sandstein,33
Juliancolton,33
Closedmouth,33
JHunterJ,32
Michig,32
SlimVirgin,31
Crisco 1492,30
Metropolitan90,30
EurekaLott,30
Xoloz,29
Utcursch,29
MilborneOne,28
Tom harrison,28
Zzuuzz,27
Titoxd,27
Slakr,26
Newyorkbrad,26
Athaenara,26
John,26
Mr. Stradivarius,25
John Reaves,25
OlEnglish,25
De728631,24
Necrothesp,24
Writ Keeper,24
Waggers,23
Jimp,23
Fluffernutter,22
BrownHairedGirl,22
Smartse,21
Hyacinth,21
AnemoneProjectors,20
