User,Totals
ProcseeBot,21675
Mark Arsten,8135
RHaworth,5396
Alexf,3768
R&#039;n&#039;B,3164
Jni,2719
ReaderofthePack,2607
Gilliam,1918
Malik Shabazz,1741
JamesBWatson,1620
Gogo Dodo,1599
Tyrol5,1575
Soap,1399
Anthony Bradbury,1310
JohnCD,1154
Peridon,1088
Yunshui,1069
Cydebot,1058
Materialscientist,1027
Admrboltz,1019
Ronhjones,1013
Stifle,931
Jimfbleak,919
NawlinWiki,879
Bbb23,860
Magog the Ogre,793
Deb,732
Acroterion,707
DragonflySixtyseven,628
Callanecc,625
Plastikspork,601
MER-C,593
Edgar181,498
Anthony Appleyard,397
Dlohcierekim,383
MilborneOne,371
De728631,367
Diannaa,345
Anna Frodesiak,337
Ymblanter,326
Od Mishehu,315
Sandstein,311
Mike Rosoft,301
BDD,296
Nyttend,291
Coffee,288
DMacks,284
DoRD,283
Sphilbrick,261
GB fan,260
IronGargoyle,255
Lankiveil,247
Vianello,247
John Reaves,242
Spinningspark,241
Discospinster,236
Favonian,232
Ponyo,230
Cindamuse,216
Acalamari,216
TorNodeBot,215
Daniel Case,211
Drmies,202
Shirt58,200
Slakr,200
GiantSnowman,199
Wizardman,194
Fuhghettaboutit,190
Future Perfect at Sunrise,187
Ged UK,185
Hyacinth,185
Nthep,184
The Bushranger,177
Xezbeth,176
Rschen7754,175
Acather96,173
C.Fred,160
January,159
Berean Hunter,156
Kudpung,156
John Vandenberg,156
Elockid,149
DGG,148
Doug Weller,143
Slon02,139
Guerillero,137
Mike V,129
BD2412,129
Toddst1,123
Courcelles,123
Sjb72,123
Nick,122
Graham87,120
Graeme Bartlett,115
Fram,113
JzG,112
Ohnoitsjamie,110
Mattythewhite,109
Tassedethe,107
Orangemike,106
Smalljim,105
David Eppstein,103
TheCatalyst31,102
CactusWriter,99
Y,98
Jac16888,98
Risker,97
EdJohnston,96
Huon,96
Salvidrim!,94
Missvain,93
Anachronist,92
Black Kite,84
Legoktm,84
SouthernNights,78
Mentoz86,77
WilyD,76
Smartse,75
Excirial,75
Crisco 1492,75
BrownHairedGirl,73
Mojo Hand,73
Splash,72
Kevin Gorman,71
Paul Erik,70
KTC,70
Bongwarrior,69
Jpgordon,69
Bishonen,67
SimonP,67
DrKay,67
LFaraone,65
Keegan,63
Rmhermen,62
Bearian,61
Vsmith,60
Only,60
Mr. Stradivarius,58
Metropolitan90,57
TFA Protector Bot,52
Moonriddengirl,51
Phantomsteve,51
Meno25,51
Gadfium,51
Panyd,50
Anomie,50
Allen3,48
Mattinbgn,48
Bearcat,48
DangerousPanda,48
Tiptoety,48
MaxSem,48
Miniapolis,48
Someguy1221,46
WJBscribe,45
Bencherlite,45
Fluffernutter,45
Bsadowski1,44
Joy,44
Gfoley4,44
WereSpielChequers,43
Scottywong,43
Kuru,43
Amalthea,41
Kusma,41
Alison,41
Pedro,40
Zzuuzz,40
Ioeth,39
EncMstr,39
Carlossuarez46,39
Writ Keeper,38
Nick-D,38
ErikHaugen,38
Darkwind,38
Vegaswikian,37
Barek,37
Hadal,35
Spartaz,35
Atama,35
Spencer,34
Hut 8.5,34
DYKUpdateBot,33
Reaper Eternal,33
ThaddeusB,33
WOSlinker,32
Cuchullain,32
Tide rolls,32
Jehochman,32
Kww,32
Shirik,32
Tone,31
Daniel,31
Academic Challenger,30
Thryduulf,30
Monty845,30
Tom Morris,30
Dpmuk,30
Vejvančický,29
HJ Mitchell,28
Elahrairah,27
JoJan,27
Michig,27
SlimVirgin,27
NativeForeigner,26
Arthur Rubin,25
BOZ,25
Smith609,24
The Anome,24
Ben MacDui,24
DESiegel,24
Kinu,23
Mlaffs,23
Edokter,22
Timrollpickering,22
SilkTork,22
Canterbury Tail,21
TeaDrinker,21
Fayenatic london,21
Georgewilliamherbert,21
Wtmitchell,20
Mackensen,20
Bilby,20
Bagumba,20
Postdlf,20
SGGH,20
