User,Totals
ProcseeBot,25108
Ricky81682,8113
Sphilbrick,8053
RHaworth,6353
Explicit,4955
Magog the Ogre,4027
Widr,2829
Jimfbleak,2078
Materialscientist,1614
Diannaa,1559
Tavix,1439
Bbb23,1092
Iridescent,1032
Patar knight,1024
JamesBWatson,1023
DGG,872
Edgar181,870
Ponyo,864
Sarahj2107,861
AnomieBOT III,850
Vanjagenije,772
Cydebot,754
ReaderofthePack,750
GB fan,713
NeilN,635
Malcolmxl5,628
JohnCD,604
Randykitty,551
Anthony Appleyard,551
BigrTex,529
Boing! said Zebedee,520
Yamaguchi先生,519
Fayenatic london,508
MER-C,498
Acroterion,488
Ritchie333,487
Xaosflux,427
Gogo Dodo,424
Anthony Bradbury,423
DoRD,414
Graeme Bartlett,408
Ymblanter,407
Maile66,406
Mojo Hand,395
Gilliam,375
Jenks24,370
AustralianRupert,361
BethNaught,361
SpacemanSpiff,358
Deb,352
Cryptic,350
Zzuuzz,336
Favonian,323
Bkonrad,323
Mike V,315
C.Fred,314
Nakon,276
James086,275
TheCatalyst31,265
The Anome,264
Kinu,259
Peridon,249
Graham87,241
Plastikspork,237
Northamerica1000,237
Drmies,236
Good Olfactory,232
MBisanz,228
MelanieN,216
Jauerback,209
Lectonar,207
MusikAnimal,200
Shirt58,183
Sandstein,181
SuperMarioMan,177
Tassedethe,176
Waggers,175
Hut 8.5,174
KrakatoaKatie,171
Seraphimblade,168
Kusma,159
BDD,158
Bishonen,157
Mike Rosoft,152
Sergecross73,150
Bearcat,149
Nyttend,144
Philg88,140
Liz,132
SQL,132
Joe Decker,131
Anna Frodesiak,131
R&#039;n&#039;B,124
TomStar81,116
Writ Keeper,115
Just Chilling,114
Fences and windows,110
Huon,109
Gonzo fan2007,109
Kelapstick,103
Cyphoidbomb,103
DeltaQuad,101
78.26,100
BrownHairedGirl,100
DragonflySixtyseven,98
Nthep,97
Bgwhite,97
Elockid,96
Nabla,91
J04n,91
Orangemike,90
Casliber,87
Ian.thomson,87
Czar,87
Callanecc,86
Bagumba,85
KaisaL,84
EdJohnston,83
HighInBC,81
Yamla,80
Deryck Chan,76
Doug Weller,75
DMacks,74
Barek,72
Fenix down,71
Monty845,68
Jac16888,68
Coffee,67
LadyofShalott,64
Calliopejen1,64
Metropolitan90,63
Doc James,63
Amakuru,63
CambridgeBayWeather,63
RoySmith,59
Future Perfect at Sunrise,58
Jimp,58
DrKay,57
Wbm1058,57
Od Mishehu,55
GiantSnowman,55
Number 57,53
Timotheus Canens,50
Fram,50
Ohnoitsjamie,49
Legoktm,49
Nihonjoe,49
Biblioworm,49
BD2412,48
5 albert square,47
Xezbeth,47
Versageek,47
Michig,45
Reaper Eternal,45
Athaenara,45
Deor,45
PhilKnight,45
SlimVirgin,44
Hyacinth,43
Magioladitis,42
Missvain,39
Euryalus,39
Kuru,38
Steve Smith,37
The Earwig,37
Ultraexactzz,36
AA,34
Friday,33
Miniapolis,32
Phantomsteve,32
GorillaWarfare,32
Bilby,32
Newyorkbrad,31
Zzyzx11,31
Jamesofur,30
Closedmouth,30
KTC,30
Mattythewhite,30
Ser Amantio di Nicolao,29
MSGJ,29
AlexiusHoratius,29
PrimeHunter,28
Paul Erik,27
Gadfium,27
Opabinia regalis,26
MaxSem,26
TFA Protector Bot,26
Ronhjones,25
AnemoneProjectors,24
Anachronist,23
Laser brain,23
Bongwarrior,22
Fox,22
Spencer,22
Cuchullain,22
Nick-D,22
Fish and karate,21
Cactus.man,21
Utcursch,21
Keegan,21
Wizardman,20
Dennis Brown,19
GoldRingChip,19
Pharos,19
Courcelles,19
Rlendog,18
Zero0000,18
Floquenbeam,18
Mr. Stradivarius,18
John,17
Slakr,16
Feezo,16
The Wordsmith,16
Salvidrim!,16
WJBscribe,16
De728631,15
Ianblair23,15
David Eppstein,15
Edokter,15
Anne Delong,14
Snowolf,14
Geni,13
WereSpielChequers,13
Black Kite,13
SilkTork,13
